Data/Hora,EPI,Status,Camera
2026-02-04 19:15:30,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:33,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:36,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:39,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:39,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:39,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:39,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:39,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:39,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:39,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:42,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:44,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:47,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:50,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:50,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:50,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:50,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:50,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:50,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:50,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:53,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:56,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:59,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:02,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:02,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:02,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:02,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:02,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:02,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:02,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:04,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:08,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:10,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:13,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:13,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:14,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:14,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:14,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:14,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:14,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:16,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:19,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:21,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:25,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:25,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:25,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:25,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:25,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:25,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:25,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:27,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:31,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:32,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:37,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:37,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:37,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:37,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:37,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:37,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:37,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:38,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:43,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:44,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:48,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:48,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:48,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:49,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:49,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:49,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:49,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:50,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:16:54,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:16:55,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:17:00,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:17:00,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:17:00,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:17:00,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:17:00,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:17:00,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:17:00,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:19:28,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:28,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:28,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:28,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:28,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:28,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:28,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:33,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:39,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:45,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:51,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:19:57,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:03,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:09,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:14,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:14,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:14,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:14,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:14,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:15,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:15,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:20,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:26,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:32,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:37,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:37,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:38,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:38,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:38,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:38,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:38,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:43,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:49,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:20:55,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:00,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:00,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:01,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:01,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:01,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:01,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:01,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:06,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:12,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:18,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:23,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:24,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:24,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:24,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:24,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:24,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:24,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:29,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:35,Abafador,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:35,Capacete,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:35,Pessoa,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:36,Mascara,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:36,Oculos,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:36,Bota,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:36,Luva,AUSENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:21:41,Capacete,PRESENTE,CloudCam: 1919-GLC-4825-CAM02,local
2026-02-04 19:41:07,Abafador,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:07,Capacete,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:07,Pessoa,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:07,Mascara,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:07,Oculos,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:07,Bota,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:08,Luva,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Abafador,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Capacete,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Pessoa,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Mascara,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Oculos,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Bota,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:23,Luva,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Abafador,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Capacete,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Pessoa,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Mascara,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Oculos,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Bota,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:39,Luva,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:55,Abafador,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
2026-02-04 19:41:55,Capacete,AUSENTE,CloudCam: 1921-GLC-4006-CAM04,local
